Score,Dart1,Dart2,Dart3
100,T20, D20,
101,T17, S10, D20
102,T20, S10, D16
103,T17, S12, D20
104,T20, T12, D4
105,T19, S8, D20
106,T20, S6, D20
107,T20, S15, D16
108,T19, S19, D16
109,T20, S9, D20
11,S3, D4,
110,T20, S10, D20
111,T19, S14, D20
112,T20, T12, D8
113,T19, S16, D20
114,T20, S14, D20
115,T19, S18, D20
116,T20, S16, D20
117,T20, S17,D20
118,T20, S18, D20
119,T19, T12, D13
120,T20, S20, D20
121,T20, T11, D14
122,T18, T18, D7
123,T19, T14, D12
124,T20, T16, D8
125,T18, T13, D16
126,T19, T15, D12
127,T20, T17, D8
128,T18, T14, D16
129,T19, T16, D12
13,S5, D4,
130,T20, T18, D8
131,T20, T13, D16
132,T20, T16, D12
133,T20, T19, D8
134,T20, T14, D16
135,T20, T17, D12
136,T20, T20, D8
137,T20, T19, D10
138,T20, T18, D12
139,T19, T14, D20
140,T20, T20, D10
141,T20, T19, D12
142,T20, T14, D20
143,T19, T18, D16
144,T20, T20, D12
145,T20, T19, D14
146,T20, T18, D16
147,T20, T17, D18
148,T20, T20, D14
149,T20, T19, D16
15,S7, D4,
150,T20, T18, D18
151,T20, T17, D20
152,T20, T20, D16
153,T20, T19, D18
154,T20, T18, D20
155,T20, T19, D19
156,T20, T20, D18
157,T20, T19, D20
158,T20, T20, D19
160,T20, T20, D20
161,T20, T17, Bullseye
164,T20, T18, Bullseye
167,T20, T19, Bullseye
17,S13, D2,
170,T20, T20, Bullseye
19,S3, D8,
21,S5 ,D8,
23,S7, D8,
25,S9, D8,
27,S11, D8,
29,S13, D8,
3,S1, D1,
31,S7, D12,
33,S1, D16,
35,S3, D16,
37,S5, D16,
39,S7, D16,
41,S9, D16,
42,S10, D16,
43,S11, D16,
44,S12, D16,
45,S13, D16,
46,S14, D16,
47,S15, D16,
48,S8, D20,
49,S9, D20,
5,S1, D2,
50,S10, D20,
51,S11, D20,
52,S12, D20,
53,S12, D20,
54,S14, D20,
55,S15, D20,
56,T16, D4,
57,S17, D20,
58,S18, D20,
59,S19, D20,
60,S20, D20,
61,T15, D8,
62,T10, D16,
63,T13, D12,
64,T16, D8,
65,T19, D4,
66,T14, D12,
67,T17, D8,
68,T20, D4,
69,T19, D6,
7,S3, D2,
70,T18, D8,
71,T13, D16,
72,T16, D12,
73,T19, D8,
74,T14, D16,
75,T17, D12,
76,T20, D8,
77,T15, D16,
78,T18, D12,
79,T13, D20,
80,T20, D10,
81,T19, D12,
82,T14, D20,
83,T17, D16,
84,T20, D12,
85,T15, D20,
86,T18, D16,
87,T17, D18,
88,T16, D20,
89,T19, D16,
9,S1, D4,
91,T17, D20,
91,T17, D20,
92,T20, D16,
93,T19, D18,
94,T18, D20,
95,T19, D19,
96,T20, D18,
97,T19, D20,
98,T20, D19,
99,T19, S10, D16
